Family,Absidia_glauca_gca_900079185.AG_v1.pep.all,Absidia_repens_gca_002105175.Absrep1.pep.all,Acaromyces_ingoldii_gca_003144295.Acain1.pep.all,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all,Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all,Alternaria_alternata_gca_001642055.Altal1.pep.all,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all,Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all
CYP55,0,0,0,1,1,0,0,0,0,0
CYP551,0,0,0,0,0,0,0,0,1,1
CYP552,0,0,0,0,0,0,2,0,2,2
CYP56,0,0,0,0,0,0,1,0,0,0
CYP561,0,0,0,0,0,0,1,0,0,0
CYP567,0,0,0,0,0,0,3,0,1,1
CYP570,0,0,0,1,1,0,1,0,0,0
CYP572,0,0,0,0,0,0,1,0,0,1
CYP573,0,0,0,0,0,0,1,1,1,1
CYP576,0,0,0,0,0,0,1,0,1,1
CYP578,0,0,0,2,2,0,0,2,1,1
CYP58,0,0,0,0,0,0,0,0,6,5
CYP584,0,0,0,2,2,0,1,3,4,4
CYP585,0,0,0,0,0,0,1,0,0,0
CYP586,0,0,0,0,0,0,0,0,2,1
CYP59,0,0,0,1,1,0,2,0,1,1
CYP595,0,0,0,0,0,0,1,0,0,0
CYP596,0,0,0,1,1,0,0,0,0,0
CYP6,0,0,0,1,1,0,0,0,1,0
CYP6001,0,0,0,1,1,0,1,1,2,2
CYP6004,0,0,1,0,0,0,1,0,0,0
CYP608,0,0,0,0,0,0,0,1,0,0
CYP61,2,2,1,1,1,1,1,1,2,2
CYP613,0,0,0,0,0,0,0,0,1,1
CYP617,0,0,0,1,1,0,1,1,1,1
CYP619,0,0,0,1,1,0,1,1,2,2
CYP62,0,0,0,1,1,0,2,0,0,0
CYP620,0,0,0,0,0,2,2,0,5,5
CYP623,0,0,0,0,0,0,0,1,0,0
CYP627,0,0,0,0,0,0,0,0,1,1
CYP628,0,0,0,0,0,0,0,0,1,1
CYP629,0,0,0,0,0,0,1,0,0,0
CYP63,0,0,0,0,0,7,0,0,0,0
CYP630,0,0,0,3,3,0,1,1,2,3
CYP631,0,0,0,0,0,0,0,0,1,1
CYP646,0,0,0,0,0,0,0,0,1,1
CYP65,0,0,0,4,4,0,6,1,8,7
CYP654,0,0,0,0,0,0,1,0,0,0
CYP655,0,0,0,0,0,0,0,0,1,1
CYP657,0,0,0,0,0,0,0,0,1,1
CYP658,0,0,0,0,0,0,0,0,1,1
CYP66,0,0,0,0,0,16,0,0,0,0
CYP661,0,0,0,0,0,0,0,0,1,0
CYP663,0,0,0,0,0,0,0,0,0,1
CYP666,0,0,0,0,0,0,0,0,1,1
CYP671,0,0,0,0,0,0,1,0,1,1
CYP672,0,0,0,0,0,0,0,0,1,1
CYP673,0,0,0,0,0,0,1,0,0,0
CYP675,0,0,0,0,0,0,1,0,1,1
CYP676,0,0,0,0,0,0,0,0,0,1
CYP677,0,0,0,1,1,0,1,1,0,0
CYP68,0,0,0,0,0,0,0,0,1,1
CYP680,0,0,0,0,0,0,1,0,0,0
CYP682,0,0,0,0,0,0,1,0,1,0
CYP684,0,0,1,1,1,0,2,0,2,3
CYP687,0,0,0,1,1,0,0,0,0,0
CYP699,0,0,0,0,0,12,0,0,0,0
New_family_1,0,1,0,0,0,0,0,0,0,0
New_family_10,0,0,0,0,0,1,0,0,0,0
New_family_11,0,0,0,0,0,1,0,0,0,0
New_family_12,0,0,0,0,0,0,1,0,0,0
New_family_13,0,0,0,0,0,0,1,0,0,0
New_family_14,0,0,0,0,0,0,1,0,0,0
New_family_15,0,0,0,0,0,0,1,0,0,0
New_family_16,0,0,0,0,0,0,1,0,0,0
New_family_17,0,0,0,0,0,0,2,0,0,0
New_family_18,0,0,0,0,0,0,0,1,0,0
New_family_19,0,0,0,0,0,0,0,0,1,1
New_family_2,0,0,1,0,0,0,0,0,0,0
New_family_20,0,0,0,0,0,0,0,0,1,1
New_family_21,0,0,0,0,0,0,0,0,1,1
New_family_22,0,0,0,0,0,0,0,0,1,1
New_family_23,0,0,0,0,0,0,0,0,0,1
New_family_24,0,0,0,0,0,0,0,0,0,1
New_family_25,0,0,0,0,0,0,0,0,1,1
New_family_3,0,0,0,1,1,0,0,0,0,0
New_family_4,0,0,0,1,1,0,0,0,0,0
New_family_5,0,0,0,1,1,0,0,0,0,0
New_family_6,0,0,0,1,1,0,0,0,0,0
New_family_7,0,0,0,0,0,1,0,0,0,0
New_family_8,0,0,0,0,0,2,0,0,0,0
New_family_9,0,0,0,0,0,1,0,0,0,0
