Subfamily,1764.11.PATRIC,1770.10.PATRIC,1770.19.PATRIC,1770.39.PATRIC,1770.9.PATRIC,1767.10.PATRIC,1767.9.PATRIC,1765.277.PATRIC,1765.319.PATRIC,1765.321.PATRIC,1765.323.PATRIC,1765.326.PATRIC,1766.6.PATRIC,1771.11.PATRIC,1772.10.PATRIC,1772.11.PATRIC,1772.19.PATRIC,1773.225.PATRIC,1773.232.PATRIC,1773.226.PATRIC,1773.228.PATRIC,1773.229.PATRIC,1773.230.PATRIC,1773.231.PATRIC,1773.233.PATRIC,1773.234.PATRIC,1773.235.PATRIC,1773.236.PATRIC,1773.237.PATRIC,1773.238.PATRIC,1773.239.PATRIC,1773.240.PATRIC,1773.241.PATRIC,1773.242.PATRIC,1773.243.PATRIC,1773.244.PATRIC,1773.245.PATRIC,1773.246.PATRIC,1773.247.PATRIC,1773.249.PATRIC,1773.250.PATRIC,1773.251.PATRIC,1773.31.PATRIC,1773.349.PATRIC,1773.248.PATRIC,1773.522.PATRIC,1773.554.PATRIC,1773.227.PATRIC,1773.523.PATRIC,1773.224.PATRIC
CYP125A,"[['fig|1764.11.peg.2590|BBJ32_12525', 'fig|1764.11.peg.4475|BBJ32_21560']]","[['fig|1770.10.peg.3439', 'fig|1770.10.peg.2307']]","[['fig|1770.19.peg.563|A0V42_02665', 'fig|1770.19.peg.1720|A0V42_08215']]","[['fig|1770.39.peg.190|CEP84_00940', 'fig|1770.39.peg.3791|CEP84_18075']]","[['fig|1770.9.peg.3468', 'fig|1770.9.peg.2322']]","[['fig|1767.10.peg.2677|CKJ61_13170', 'fig|1767.10.peg.4480|CKJ61_22080', 'fig|1767.10.peg.537|CKJ61_02660']]","[['fig|1767.9.peg.2616|CKJ67_12890', 'fig|1767.9.peg.4695|CKJ67_23005', 'fig|1767.9.peg.529|CKJ67_02665']]",0,0,0,0,0,"[['fig|1766.6.peg.5279|XA26_53050', 'fig|1766.6.peg.992|XA26_10010', 'fig|1766.6.peg.3287|XA26_33020']]","[['fig|1771.11.peg.659|MPHLCCUG_00665', 'fig|1771.11.peg.2436|MPHLCCUG_02457', 'fig|1771.11.peg.526|MPHLCCUG_00534']]","[['fig|1772.10.peg.5682', 'fig|1772.10.peg.5818', 'fig|1772.10.peg.3454']]","[['fig|1772.11.peg.5681', 'fig|1772.11.peg.5817', 'fig|1772.11.peg.3453']]","[['fig|1772.19.peg.5763|ERS451418_05671', 'fig|1772.19.peg.5900|ERS451418_05810', 'fig|1772.19.peg.3557|ERS451418_03494']]",[['fig|1773.225.peg.1438|IU21_18260']],0,[['fig|1773.226.peg.3517|IU13_18045']],[['fig|1773.228.peg.1207|IU15_18465']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[['fig|1773.227.peg.1541']],0,"[['fig|1773.224.peg.2372|IU12_18820', 'fig|1773.224.peg.2373']]"
CYP125F,0,[['fig|1770.10.peg.4057']],[['fig|1770.19.peg.4107|A0V42_19575']],[['fig|1770.39.peg.833|CEP84_03980']],[['fig|1770.9.peg.4088']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP126A,"[['fig|1764.11.peg.2684|BBJ32_12975', 'fig|1764.11.peg.2683']]",[['fig|1770.10.peg.3345']],[['fig|1770.19.peg.657|A0V42_03120']],[['fig|1770.39.peg.92|CEP84_00485']],[['fig|1770.9.peg.3373']],[['fig|1767.10.peg.631|CKJ61_03130']],[['fig|1767.9.peg.623|CKJ67_03135']],0,0,0,0,0,[['fig|1766.6.peg.999|XA26_10090']],[['fig|1771.11.peg.666|MPHLCCUG_00672']],[['fig|1772.10.peg.5675']],[['fig|1772.11.peg.5674']],[['fig|1772.19.peg.5756|ERS451418_05664']],0,0,[['fig|1773.226.peg.2980']],0,0,0,0,0,0,[['fig|1773.235.peg.2737|IQ45_15515']],0,0,0,0,0,0,0,0,0,0,0,0,0,[['fig|1773.250.peg.860|IZ84_04140']],0,0,0,0,0,0,0,0,[['fig|1773.224.peg.1907|IU12_16415']]
CYP128A,0,0,0,0,0,0,0,[['fig|1765.277.peg.2467']],[['fig|1765.319.peg.2520|AA885_11830']],[['fig|1765.321.peg.2514|Mb1595_p2527']],[['fig|1765.323.peg.2468|BOVR_11755']],[['fig|1765.326.peg.2594|RN07_2456']],0,0,0,0,0,[['fig|1773.225.peg.3974|IU21_09705']],[['fig|1773.232.peg.1235|T209_09355']],[['fig|1773.226.peg.1569|IU13_09485']],[['fig|1773.228.peg.3678|IU15_09715']],[['fig|1773.229.peg.2059|IQ42_09500']],[['fig|1773.230.peg.1436|IQ48_09395']],[['fig|1773.231.peg.1429|IU16_09435']],[['fig|1773.233.peg.1371|IQ47_09365']],[['fig|1773.234.peg.1425|IU17_09385']],[['fig|1773.235.peg.1337|IQ45_09385']],[['fig|1773.236.peg.513|IQ39_09100']],[['fig|1773.237.peg.412|IQ41_09030']],[['fig|1773.238.peg.547|IQ43_09230']],[['fig|1773.239.peg.555|IQ46_09225']],[['fig|1773.240.peg.1040|IU18_09350']],[['fig|1773.241.peg.819|IU24_09305']],[['fig|1773.242.peg.881|IU14_09250']],[['fig|1773.243.peg.1045|IU19_09385']],[['fig|1773.244.peg.1021|IU22_09365']],[['fig|1773.245.peg.1008|IU20_09320']],[['fig|1773.246.peg.1010|IU23_09320']],[['fig|1773.247.peg.735|IQ44_09315']],[['fig|1773.249.peg.2499|ER17_12005']],[['fig|1773.250.peg.2521|IZ84_12125']],[['fig|1773.251.peg.2509|JE53_12115']],[['fig|1773.31.peg.3907|UDA_2268c']],[['fig|1773.349.peg.225']],[['fig|1773.248.peg.2592|IQ40_09405']],[['fig|1773.522.peg.2501|LJ70_12260']],[['fig|1773.554.peg.2597|UB21_12000']],[['fig|1773.227.peg.4042']],[['fig|1773.523.peg.2529|LJ80_12405']],0
CYP130A,[['fig|1764.11.peg.417|BBJ32_02025']],[['fig|1770.10.peg.1344']],[['fig|1770.19.peg.2693|A0V42_12850']],[['fig|1770.39.peg.2797|CEP84_13390']],[['fig|1770.9.peg.1360']],[['fig|1767.10.peg.1298|CKJ61_06430']],[['fig|1767.9.peg.1324|CKJ67_06615']],0,0,0,0,0,[['fig|1766.6.peg.4426|XA26_44550']],[['fig|1771.11.peg.3973|MPHLCCUG_04005']],[['fig|1772.10.peg.4901']],[['fig|1772.11.peg.4896']],[['fig|1772.19.peg.4980|ERS451418_04896']],[['fig|1773.225.peg.2733|IU21_03980']],[['fig|1773.232.peg.17|T209_03860']],[['fig|1773.226.peg.287|IU13_03890']],[['fig|1773.228.peg.2447']],[['fig|1773.229.peg.802|IQ42_03895']],[['fig|1773.230.peg.175|IQ48_03885']],[['fig|1773.231.peg.204|IU16_03880']],[['fig|1773.233.peg.86|IQ47_03845']],[['fig|1773.234.peg.115|IU17_03830']],[['fig|1773.235.peg.82|IQ45_03860']],[['fig|1773.236.peg.3699|IQ39_03805']],[['fig|1773.237.peg.3579|IQ41_03780']],[['fig|1773.238.peg.3726|IQ43_03805']],[['fig|1773.239.peg.3722|IQ46_03780']],[['fig|1773.240.peg.4094|IU18_03835']],[['fig|1773.241.peg.3918|IU24_03825']],[['fig|1773.242.peg.3907|IU14_03820']],[['fig|1773.243.peg.4121|IU19_03855']],[['fig|1773.244.peg.4110|IU22_03850']],[['fig|1773.245.peg.4115|IU20_03830']],[['fig|1773.246.peg.4124|IU23_03830']],[['fig|1773.247.peg.3765|IQ44_03830']],[['fig|1773.249.peg.1394|ER17_06685']],[['fig|1773.250.peg.1401|IZ84_06725']],[['fig|1773.251.peg.1396|JE53_06735']],[['fig|1773.31.peg.2833|UDA_1256c']],[['fig|1773.349.peg.639']],[['fig|1773.248.peg.1301']],[['fig|1773.522.peg.1390|LJ70_06835']],[['fig|1773.554.peg.1446|UB21_06700']],[['fig|1773.227.peg.2776|IQ38_03985']],[['fig|1773.523.peg.1388|LJ80_06825']],[['fig|1773.224.peg.3551']]
CYP135A,0,0,0,0,0,0,0,[['fig|1765.277.peg.360']],[['fig|1765.319.peg.371|AA885_01725']],[['fig|1765.321.peg.366|Mb1595_p0368']],[['fig|1765.323.peg.366|BOVR_01720']],[['fig|1765.326.peg.373|RN07_0357']],0,0,0,0,0,[['fig|1773.225.peg.2292']],[['fig|1773.232.peg.4143|T209_21640']],[['fig|1773.226.peg.4399|IU13_21955']],[['fig|1773.228.peg.2112']],[['fig|1773.229.peg.486|IQ42_21940']],[['fig|1773.230.peg.4246|IQ48_21845']],[['fig|1773.231.peg.4221|IU16_21840']],[['fig|1773.233.peg.4188|IQ47_21650']],[['fig|1773.234.peg.4323|IU17_21705']],[['fig|1773.235.peg.4204|IQ45_21660']],[['fig|1773.236.peg.3449|IQ39_21275']],[['fig|1773.237.peg.3472|IQ41_21200']],[['fig|1773.238.peg.3568|IQ43_21375']],[['fig|1773.239.peg.3623|IQ46_21440']],[['fig|1773.240.peg.3973|IU18_21555']],[['fig|1773.241.peg.3767|IU24_21500']],[['fig|1773.242.peg.3790|IU14_21505']],[['fig|1773.243.peg.3969|IU19_21680']],[['fig|1773.244.peg.3949|IU22_21655']],[['fig|1773.245.peg.3932|IU20_21500']],[['fig|1773.246.peg.3942|IU23_21500']],[['fig|1773.247.peg.3671|IQ44_21530']],[['fig|1773.249.peg.357|ER17_01715']],[['fig|1773.250.peg.362|IZ84_01750']],[['fig|1773.251.peg.358|JE53_01745']],[['fig|1773.31.peg.4051|UDA_0327c']],[['fig|1773.349.peg.1563']],[['fig|1773.248.peg.1016|IQ40_21750']],[['fig|1773.522.peg.356|LJ70_01750']],[['fig|1773.554.peg.368|UB21_01725']],[['fig|1773.227.peg.2418|IQ38_22475']],[['fig|1773.523.peg.362|LJ80_01770']],[['fig|1773.224.peg.3227']]
CYP135B,0,0,0,0,0,0,0,[['fig|1765.277.peg.624']],[['fig|1765.319.peg.635|AA885_02980']],[['fig|1765.321.peg.629|Mb1595_p0632']],[['fig|1765.323.peg.624|BOVR_02970']],[['fig|1765.326.peg.642|RN07_0612']],"[['fig|1766.6.peg.3069|XA26_30900', 'fig|1766.6.peg.5034|XA26_50570']]",[['fig|1771.11.peg.1029|MPHLCCUG_01040']],[['fig|1772.10.peg.1198']],[['fig|1772.11.peg.1201']],[['fig|1772.19.peg.1231|ERS451418_01218']],[['fig|1773.225.peg.700']],[['fig|1773.232.peg.2305|T209_01275']],"[['fig|1773.226.peg.2546|IU13_01270', 'fig|1773.226.peg.2545']]",[['fig|1773.228.peg.68']],[['fig|1773.229.peg.2884|IQ42_01275']],0,[['fig|1773.231.peg.2600|IU16_01270']],[['fig|1773.233.peg.2125|IQ47_01250']],[['fig|1773.234.peg.1688|IU17_01245']],[['fig|1773.235.peg.2177|IQ45_01270']],[['fig|1773.236.peg.2157|IQ39_01235']],[['fig|1773.237.peg.1633|IQ41_01215']],[['fig|1773.238.peg.1453|IQ43_01220']],[['fig|1773.239.peg.1398|IQ46_01220']],[['fig|1773.240.peg.1682|IU18_01245']],[['fig|1773.241.peg.1625|IU24_01245']],[['fig|1773.242.peg.1399|IU14_01240']],[['fig|1773.243.peg.1780|IU19_01260']],[['fig|1773.244.peg.1748|IU22_01240']],[['fig|1773.245.peg.1871|IU20_01255']],[['fig|1773.246.peg.1877|IU23_01255']],[['fig|1773.247.peg.864|IQ44_01245']],[['fig|1773.249.peg.617|ER17_02965']],[['fig|1773.250.peg.624|IZ84_03000']],[['fig|1773.251.peg.620|JE53_02995']],[['fig|1773.31.peg.1789|UDA_0568']],[['fig|1773.349.peg.2119']],[['fig|1773.248.peg.2966|IQ40_01275']],[['fig|1773.522.peg.614|LJ70_03010']],[['fig|1773.554.peg.645|UB21_02975']],[['fig|1773.227.peg.545|IQ38_01320']],[['fig|1773.523.peg.623|LJ80_03035']],0
CYP136A,[['fig|1764.11.peg.3005|BBJ32_14540']],[['fig|1770.10.peg.720']],[['fig|1770.19.peg.3329|A0V42_15940']],[['fig|1770.39.peg.2145|CEP84_10235']],[['fig|1770.9.peg.723']],[['fig|1767.10.peg.3791|CKJ61_18675']],[['fig|1767.9.peg.3943|CKJ67_19355']],[['fig|1765.277.peg.3318']],[['fig|1765.319.peg.3384|AA885_15930']],[['fig|1765.321.peg.3383|Mb1595_p3404']],[['fig|1765.323.peg.3328|BOVR_15840']],[['fig|1765.326.peg.3481|RN07_3270']],[['fig|1766.6.peg.2245|XA26_22580']],[['fig|1771.11.peg.1926|MPHLCCUG_01943']],"[['fig|1772.10.peg.987', 'fig|1772.10.peg.2239']]","[['fig|1772.11.peg.989', 'fig|1772.11.peg.2242']]",[['fig|1772.19.peg.2344|ERS451418_02308']],[['fig|1773.225.peg.2533|IU21_03080']],[['fig|1773.232.peg.4158|T209_02995']],[['fig|1773.226.peg.104|IU13_03025']],[['fig|1773.228.peg.2235|IU15_03095']],[['fig|1773.229.peg.629|IQ42_03020']],[['fig|1773.230.peg.4353|IQ48_03005']],[['fig|1773.231.peg.24|IU16_03015']],[['fig|1773.233.peg.4240|IQ47_02970']],[['fig|1773.234.peg.3885|IU17_02965']],[['fig|1773.235.peg.4226|IQ45_02985']],[['fig|1773.236.peg.3524|IQ39_02930']],[['fig|1773.237.peg.2573|IQ41_02920']],[['fig|1773.238.peg.3145|IQ43_02935']],[['fig|1773.239.peg.2737|IQ46_02920']],[['fig|1773.240.peg.3229|IU18_02955']],[['fig|1773.241.peg.3415|IU24_02960']],[['fig|1773.242.peg.2794|IU14_02950']],[['fig|1773.243.peg.3836|IU19_02995']],[['fig|1773.244.peg.3863|IU22_02980']],[['fig|1773.245.peg.3875|IU20_02970']],[['fig|1773.246.peg.3885|IU23_02970']],[['fig|1773.247.peg.2648|IQ44_02975']],[['fig|1773.249.peg.3370|ER17_16215']],[['fig|1773.250.peg.3387|IZ84_16310']],[['fig|1773.251.peg.3379|JE53_16290']],[['fig|1773.31.peg.760|UDA_3059']],[['fig|1773.349.peg.381']],[['fig|1773.248.peg.1112|IQ40_03000']],[['fig|1773.522.peg.3361|LJ70_16460']],[['fig|1773.554.peg.3504|UB21_16190']],[['fig|1773.227.peg.2572|IQ38_03095']],[['fig|1773.523.peg.3407|LJ80_16655']],[['fig|1773.224.peg.3354']]
CYP136B,0,0,0,0,0,0,0,0,0,0,0,0,[['fig|1766.6.peg.4866|XA26_48920']],0,[['fig|1772.10.peg.1150']],[['fig|1772.11.peg.1152']],[['fig|1772.19.peg.1185|ERS451418_01172']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP136D,0,0,0,0,0,[['fig|1767.10.peg.2369|CKJ61_11690']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
